    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
511449,241,K83C1,Kr 83 entre Cl 1A1 y 1,-763321852,32301354,-76.55607,3.38370944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511452,241,K78C2A,Kr 78 entre Cl 3 y 2C,-763258209,32314288,-76.5495025,3.38730222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511453,241,K78C3D,Kr 78 con Cl 3D y 3A,-763251246,32313881,-76.54756833,3.38718917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511456,241,K99C48,Kr 99 con Cl 48,-763102317,32205328,-76.51731028,3.36814667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511457,241,K99C482,Kr 99 con Cl 50,-763052711,32206128,-76.51464194,3.36836889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511458,241,C50K100,Cl 50 entre Kr 100 y 102,-763051234,32158218,-76.51423167,3.36617167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511459,241,C25K102,Cl 25 entre Kr 102 y 101,-763127357,32145281,-76.52426583,3.36257806,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511460,241,VORAGI3,LA VORAGINE Fin,-763517057,32038121,-76.58807139,3.3439225,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511461,241,VBUIPACH,Vía La Buitrera Callejon Pacheco Subiend,-763350197,32202158,-76.56394361,3.36726611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511462,241,VBUITNAN,Vía La Buitrera Tienda Nancy,-763413467,32255273,-76.5704075,3.38202028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511463,241,VBUICPA,Vía La Buitrera Callejon Pacheco - Bajan,-763350520,32201858,-76.56403333,3.36718278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511464,241,K83CC50,Kr 83C entre Cl 50 y 48,-763052710,32301653,-76.51464167,3.3837925,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511465,241,K83CC48B,Kr 83C entre Cl 50 y 48 P1,-763057393,32301653,-76.5159425,3.3837925,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511467,241,K83CC501,Kr 83C entre Cl 48Bis y 50,-763055237,32300944,-76.51534361,3.38359556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511468,241,C42K83C,Cl 42 entre Kr 83C y 83B,-763112742,32304647,-76.52020611,3.38462417,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511469,241,C48K81,Cl 48 entre Kr 80 y 81,-763059678,32313066,-76.51657722,3.38696278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511470,241,C53K83C,Cl 53 entre Kr 83C y 83E Vegas de Comfan,-763042431,32301760,-76.51178639,3.38382222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511472,241,K85C54,Kr 85C entre Cl 54 y 55 Panaderia,-763034615,32249500,-76.50961528,3.38041667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511473,241,K85C55,Kr 85D entre Cl 55 y 54 Caseta,-763034386,32244686,-76.50955167,3.37907944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511474,241,C54K85D,Cl 54 entre Kr 85D y 85C Tienda,-763038621,32246993,-76.51072806,3.37972028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511475,241,C54K84,Cl 54 entre Kr 84 y 85C Unidad Residenci,-763038433,32252582,-76.51067583,3.38127278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511476,241,C53K83E,Cl 53 entre Kr 83E y 83C Vegas de Comfan,-763041875,32302818,-76.51163194,3.38411611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511479,241,C48K98B,Cl 48 entre Kr 98B y 98A,-763058467,32210943,-76.51624083,3.36970639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511480,241,C48K97,Cl 48 entre Kr 97 y 96A,-763058506,32220510,-76.51625167,3.37236389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511481,241,C48K94A,Cl 48 entre Kr 94A y 94,-763058389,32229359,-76.51621917,3.37482194,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511483,241,K99C53,Kr 99 entre Cl 53 y 50 / Ciudad Melendez,-763042366,32206201,-76.51176833,3.36838917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511485,241,K83C30,Kr 83C entre Cl 30 y 33 / Salsamentaria ,-763120396,32301128,-76.52233222,3.38364667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511486,241,VBUICAP6,Vía La Buitrera Mi Capricho Km 6,-763430962,32257206,-76.57526722,3.38255722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511487,241,URBMC1,Unidad R Mirador Campestre P1,-763314180,32203590,-76.55393889,3.36766389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511488,241,URBMC2,Unidad R Mirador Campestre P2,-763314970,32203700,-76.55415833,3.36769444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511490,241,C48K83-2,Cl 48 entre Kr 83C y 83E,-763059918,32252815,-76.51664389,3.3813375,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511491,241,C48K85-2,Cl 48 entre Kr 85 y 86,-763059739,32247005,-76.51659417,3.37972361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511492,241,C55K85C,Cl 55 entre Kr 85C y 85D,-763029031,32246274,-76.50806417,3.37952056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512001,241,A1NC10,Av 1N entre Cl 12 y 10 PP1,-763202473,32718916,-76.53402028,3.45525444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512002,241,C18ICESI,Cl 18 entre Kr 125 y 122,-763151666,32026813,-76.53101833,3.34078139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512003,241,C70A3CN2,Cl 70 entre Av 3BN y 3CN,-763051627,32931087,-76.51434083,3.49196861,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512005,241,A6ANC35,Av 6AN entre Cl 35 y 29 PP1,-763139590,32823619,-76.52766389,3.4732275,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512006,241,A6NC34,Av 6N entre Cl 34 y 35,-763135137,32821373,-76.52642694,3.47260361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512007,241,A6ANC27,Av 6AN entre Cl 27 y 26 PP2,-763149397,32809310,-76.53038806,3.46925278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512009,241,A1NC10-2,Av 1N entre Cl 12 y 10 PP2,-763203534,32718120,-76.534315,3.45503333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512014,241,A2NC70,Av 2N entre Cl 70N y 67N  Portal del Rio,-763015422,32915942,-76.50428389,3.48776167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512015,241,C44A3DN,Cl 44 entre Av 3DN y 3EN,-763109456,32846224,-76.51929333,3.47950667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512017,241,C70A4N-2,Cl 70 entre Av 4N y 6N 2,-763117300,32938972,-76.52147222,3.49415889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512019,241,C70A2N2,Cl 70 con Av 2N,-763013728,32918438,-76.50381333,3.488455,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512020,241,A3NC23D,Av 3N con Cl 23D Terminal de Transporte ,-763124834,32757730,-76.523565,3.46603611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512021,241,A3NC32A,Av 3N entre Cl 32A y 33,-763119590,32812507,-76.52210833,3.47014083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512023,241,A3NC24,Av 3N entre Cl 24 y 23D,-763126509,32801026,-76.52403028,3.46695167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512024,241,C21A4N,Cl 21 entre Av 4N y 3N,-763139890,32739551,-76.52774722,3.46098639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512029,241,C75CNA2A,Cl 75CN entre Av 2 ABis y 2B,-763006495,32942632,-76.50180417,3.49517556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512033,241,A2ANC71N,Av 2AN entre Cl 71N y 70N,-763023148,32924120,-76.50643,3.49003333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512034,241,A3NC59,Av 3N entre Cl 59 y 61AN,-763039693,32915936,-76.51102583,3.48776,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512035,241,A2NC57AN,Av 2N entre Cl 57AN y 57N,-763020943,32901621,-76.5058175,3.48378361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512037,241,A6BISC35,Av 6BIS entre Cl 35 y 36,-763138281,32823354,-76.52730028,3.47315389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512039,241,C44A4BN,Cl 44 entre Av 4BN y 6N,-763124360,32852410,-76.52343333,3.481225,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512040,241,A6NC45,Av 6N entre Cl 45 y 47 PP2,-763132209,32902576,-76.52561361,3.48404889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512041,241,A6NC48,Av 6N entre Cl 48 y 49 / PP1,-763132148,32911940,-76.52559667,3.48665,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
