    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
517255,241,K70C1A,Kr 70 entre Cl 1A y 1C,-763318486,32334914,-76.555135,3.39303167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517257,241,C5K39,Cl 5 entre Kr 39 y 40,-763249184,32526259,-76.54699556,3.42396083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517258,241,C5K34A,Cl 5 entre Kr 34A y 35,-763235969,32554557,-76.54332472,3.43182139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517259,241,C5K36,Cl 5 entre Kr 36 y 37A,-763240234,32546522,-76.54450944,3.42958944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517268,241,K66C5A,Kr 66 entre Cl 5 y 5A,-763244268,32352904,-76.54563,3.39802889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517270,241,T2A2BD2,Tr 2A entre Cl 2 Bis y Dg 2A,-763308028,32320483,-76.55223,3.38902306,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517271,241,T2AC74B,Tr 2A entre Kr 74Bis y 74,-763312684,32324012,-76.55352333,3.39000333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517272,241,C4K80,Cl 4 entre Kr 80 y 78,-763245217,32311262,-76.54589361,3.38646167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517275,241,C2AK81,Cl 2A Bis con Kr 81,-763309654,32305985,-76.55268167,3.38499583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517276,241,K83C1B,Kr 83 con Cl 1B Oe,-763327355,32300418,-76.55759861,3.38344944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517277,241,K83Y,Kr 83 en la Y,-763315019,32301204,-76.55417194,3.38366778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517279,241,C2K54,Cl 2 entre Kr 54 y 53,-763312133,32451975,-76.55337028,3.4144375,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517280,241,C9K41,Cl 9 entre Kr 41 y 40,-763219586,32513520,-76.53877389,3.42042222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518001,241,C8K141,Cl 8 entre Kr 14 y 14A,-763203426,32633432,-76.534285,3.44262,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518003,241,K39D301,Kr 39 entre Dg 30 y Cl 34C,-763032235,32512060,-76.50895417,3.42001667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518005,241,K39C312,Kr 39 entre Cl 31A y 32,-763048999,32510226,-76.51361083,3.41950722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518006,241,K39C32A,Kr 39 entre Cl 32A y 32,-763041664,32511531,-76.51157333,3.41986972,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518009,241,K39C261,Kr 39 entre Cl 26A y 26,-763111924,32509733,-76.51997889,3.41937028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518012,241,K39C372,Kr 39 entre Cl 37 y 38,-763026979,32506906,-76.50749417,3.418585,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518013,241,K39C29,Kr 39 entre Cl 29 y 30C,-763056396,32509793,-76.51566556,3.41938694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518016,241,K23C26B,Kr 23 entre Cl 26B y T25,-763058308,32609084,-76.51619667,3.43585667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518019,241,K23T29,Kr 23 entre Tr 29 y C33B,-763043368,32611697,-76.51204667,3.4365825,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518020,241,K23C33F,Kr 23 entre Cl 33F y 33C,-763033322,32616154,-76.50925611,3.43782056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518021,241,K23C33C,Kr 23 entre Cl 33C y 33F,-763031524,32614940,-76.50875667,3.43748333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518022,241,K23C361,Kr 23 entre Cl 36 y 34,-763024324,32619062,-76.50675667,3.43862833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518024,241,K23C40,Kr 23 entre Cl 41 y 39,-763017677,32621177,-76.50491028,3.43921583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518025,241,K23C39,Kr 23 entre Cl 39 y 41,-763016344,32619854,-76.50454,3.43884833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518027,241,K23C43,Kr 23 entre Cl 43 y 44,-763006900,32623118,-76.50191667,3.439755,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518031,241,C52K20,Cl 52 entre Kr 20 y 22,-762958068,32630972,-76.49946333,3.44193667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518033,241,C27K362,Cl 27 entre Kr 36 y 35,-763101848,32515748,-76.51718,3.42104111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518034,241,C27K33A1,Cl 27 entre Kr 33 y 33B,-763102022,32522128,-76.51722833,3.42281333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518036,241,C27K31A1,Cl 27 entre Kr 31 y 31B,-763101310,32532834,-76.51703056,3.42578722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518037,241,C27K31A2,Cl 27 entre Kr 31A y 31,-763100606,32533520,-76.516835,3.42597778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518039,241,K29C27,Kr 29 entre Cl 27 y 26B,-763101968,32543650,-76.51721333,3.42879167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518041,241,K29C26B1,Kr 29 entre Cl 26B y 25,-763109882,32544604,-76.51941167,3.42905667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518045,241,C28T251,Cl 28 entre Tr 25 y 25C,-763053083,32604690,-76.51474528,3.43463611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518046,241,C28K24B1,Cl 28 entre Kr 24B y 25,-763058944,32556718,-76.51637333,3.43242167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518049,241,C70K26E2,Cl 70 entre Kr 26E y 26D,-762939383,32610736,-76.49427306,3.43631556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518051,241,C70D69,Cl 70 entre Dg 69 y Kr 26H,-762943829,32602297,-76.49550806,3.43397139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518058,241,C70K29,Cl 70 entre Kr 29 y 29A,-763011675,32527616,-76.50324306,3.42433778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518060,241,C70K32,Cl 70 entre Kr 32 y 32B,-763018883,32520914,-76.50524528,3.42247611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518063,241,C70K39,Cl 70 entre Kr 39 y 36,-763026570,32510968,-76.50738056,3.41971333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518069,241,K32C34,Kr 32 entre Cl 34 y 35,-763030762,32527462,-76.508545,3.424295,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518071,241,K32C32,Kr 32 entre Cl 32 y 32A,-763040626,32528728,-76.511285,3.42464667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518073,241,K32C30,Kr 32 entre Cl 30 y 31,-763051282,32529688,-76.514245,3.42491333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518075,241,K23C28A,Kr 23 entre Cl 28A y 28,-763053951,32611348,-76.51498639,3.43648556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518077,241,K23C49,Kr 23 entre Cl 49 y 48,-763003624,32626060,-76.50100667,3.44057222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518082,241,K23T251,Kr 23 entre Tr 25 y Cl 25,-763101178,32610324,-76.51699389,3.43620111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518084,241,C27K25B,Cl 27 Kr 25B y 25A,-763058991,32553432,-76.51638639,3.43150889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518085,241,C28K23C,Cl 28 entre Kr 23C y 23B,-763053292,32603200,-76.51480333,3.43422222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518089,241,C32K31A,Cl 32entre Kr 31A y 31,-763042791,32531467,-76.51188639,3.4254075,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518097,241,T30C29,Tr 30 con Cl 29,-763059042,32634442,-76.51640056,3.44290056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518098,241,T30C17F,Tr 30 entre Kr 17F y Dg 19,-763051702,32622241,-76.51436167,3.43951139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518099,241,D19T30,Dg 19 entre Tr 30 y 31,-763049609,32620842,-76.51378028,3.43912278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
517173,241,K56C8OE,Kr 56 entre Cl 7 Oe y 8 Oe,-763338255,32440629,-76.56062639,3.41128583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518110,241,D19T27,Dg 19 entre Tr 28 y 28A,-763054301,32614325,-76.51508361,3.4373125,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518111,241,D22T25,Dg 22 entre Tr 25 y 26,-763051152,32606408,-76.51420889,3.43511333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518112,241,C33CK24B,Cl 33C entre Kr 24B y 24C,-763035412,32608326,-76.50983667,3.43564611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518113,241,C33CK25,Cl 33C entre Kr 25 y 26,-763033296,32600526,-76.50924889,3.43347944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518114,241,K27C33E,Kr 27 entre Cl 33E y 33H,-763026900,32558589,-76.50747222,3.43294139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518115,241,K27C34,Kr 27 entre Cl 34 y 36,-763018922,32600574,-76.50525611,3.43349278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518116,241,K27C36A,Kr 27 entre Cl 36A y Dg 28B,-763011158,32601036,-76.50309944,3.43362111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518117,241,K27C44,Kr 27 entre Cl 44 y 49,-763004415,32557617,-76.50122639,3.43267139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518118,241,K27C52,Kr 27 entre 52 y 54,-762957802,32554270,-76.49938944,3.43174167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518119,241,K27C70,Kr 27 entre Cl 70 y 56A,-762953042,32552619,-76.49806722,3.43128306,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518120,241,K27C50,Kr 27 entre Cl 50 y 49,-763002889,32557602,-76.5008025,3.43266722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518121,241,K27D28B,Kr 27 entre Dg 28B y Cl 39,-763011700,32602036,-76.50325,3.43389889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518122,241,K27C33H,Kr 27 entre Cl 33H y 34,-763021292,32600562,-76.50591444,3.43348944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518124,241,C32K33B,Cl 32 entre Kr 33B y 33A,-763043580,32521394,-76.51210556,3.42260944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518126,241,C44K31,Cl 44 entre Kr 31 y 29B,-763020727,32530053,-76.5057575,3.42501472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518128,241,K32D33,Kr 32 entre Dg 33 y 32,-763019674,32523894,-76.505465,3.42330389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518129,241,D30K33,Dg 30 entre Kr 33 y 33A,-763026331,32521089,-76.50731417,3.42252472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518131,241,T29C44,Tr 29 con Cl 44,-763017204,32535174,-76.50477889,3.42643722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518132,241,C44T29K2,Cl 44 entre Tr 29 y Kr 28F,-763016857,32537868,-76.5046825,3.42718556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518133,241,C44K28ET,Cl 44 entre Kr 28E y Tr 28D,-763012317,32546598,-76.50342139,3.42961056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518134,241,C44K28A,Cl 44 entre Kr 28 y 27A,-763007403,32556425,-76.50205639,3.43234028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518135,241,C44K26L,Cl 44 entre Kr 26L y 26K,-763001806,32607225,-76.50050167,3.43534028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518136,241,C52K2625,Cl 52 entre Kr 26 y 25A,-762952030,32615111,-76.49778611,3.43753083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518143,241,C44T28D,Cl 44 entre Tr 28D y 33H,-763012691,32547852,-76.50352528,3.42995889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518147,241,C70K25,Cl 70 entre Kr 25 y 25A,-762936383,32622139,-76.49343972,3.43948306,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518148,241,C70K26F,Cl 70 entre Kr 26D y 26F,-762943427,32609247,-76.49539639,3.43590194,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518149,241,C70K34,Cl 70 entre Kr 34 y 35,-763026163,32513681,-76.5072675,3.42046694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518150,241,C70K28B,Cl 70 entre Kr 28B y 27,-762950089,32550232,-76.49724694,3.43062,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518151,241,C33AK17A,Cl 33A entre Kr 17 y 17C,-763043910,32630122,-76.51219722,3.44170056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518152,241,D19T28A,Dg 19 entre Tr 28A y 28,-763053391,32616403,-76.51483083,3.43788972,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518153,241,C52K22,Cl 52 entre Kr 22 y 20,-762957742,32631489,-76.49937278,3.44208028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518154,241,K23C25T2,Kr 23 entre Cl 25 y Tr 25E,-763108417,32607529,-76.51900472,3.43542472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518155,241,C52K24B,Cl 52 entre Kr 24B y 24A,-762954601,32622155,-76.49850028,3.4394875,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518156,241,C44K21,Cl 44 entre Kr 21 y 19,-763007167,32628952,-76.50199083,3.44137556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518157,241,C44K20,Cl 44 entre Kr 20 y 22,-763007306,32627817,-76.50202944,3.44106028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518158,241,C44K24,Cl 44 entre Kr 24 y 24A,-763004976,32621360,-76.50138222,3.43926667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518159,241,C44K25,Cl 44 entre Kr 25 y 25A,-763002218,32613942,-76.50061611,3.43720611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518160,241,C44C43,Cl 44 entre Cl 43 y 42A,-763002304,32607664,-76.50064,3.43546222,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518161,241,C44K28,Cl 44 entre Kr 28 y 28A,-763008607,32555504,-76.50239083,3.43208444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518162,241,C44T33E,Cl 44 entre Tr 33E y 29,-763017063,32539076,-76.50473972,3.42752111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518164,241,C70K27A,Cl 70 entre Kr 27 y 27A,-762952914,32550828,-76.49803167,3.43078556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518165,241,K39C26D,Kr 39 entre Cl 26C y 26B,-763106371,32510010,-76.51843639,3.41944722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518169,241,C70K28C,Cl 70 entre Kr 28C y 28B,-762952819,32544899,-76.49800528,3.42913861,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518171,241,C70K26E,Cl 70 entre Kr 26E y 26F,-762942348,32611525,-76.49509667,3.43653472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518174,241,K29C31A,Kr 29 entre 31A y 30,-763051212,32542736,-76.51422556,3.42853778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518178,241,K29C29,Kr 29 entre Cl 29 y 30A,-763051303,32542036,-76.51425083,3.42834333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518179,241,K29C32,Kr 29 entre Cl 31A y 32,-763043457,32541224,-76.51207139,3.42811778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518180,241,C32K29B,Cl 32 entre Kr 29B y 30,-763042764,32535716,-76.51187889,3.42658778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518185,241,K27C71,Kr 27entre Cl 71 y 71A,-762947569,32550590,-76.49654694,3.43071944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518187,241,K26ID72A,Kr 26I entre Dg 72A y 71B,-762931965,32601135,-76.4922125,3.43364861,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518188,241,K27C72,Kr 27 entre Cl 72 y 71B,-762944420,32550467,-76.49567222,3.43068528,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518189,241,C70K27,Cl 70 entre Kr 27 y 26M,-762949004,32552213,-76.49694556,3.43117028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518194,241,C25K26,Cl 27 entre Kr 26 y 27,-763100153,32548398,-76.51670917,3.43011056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518196,241,R-CALP1,Calipso Reserva 1,-762955886,32542302,-76.49885722,3.42841722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518197,241,R-CALP2,Calipso Reserva 2,-762958257,32540417,-76.49951583,3.42789361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518198,241,R-CALP3,Calipso Reserva 3,-762957222,32539634,-76.49922833,3.42767611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518202,241,CALSOD4,T. CALIPSO BAHIA D4,-763003204,32537266,-76.50089,3.42701833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518204,241,K25T29,Kr 25 entre Tr 29 y 25,-763040097,32601757,-76.51113806,3.43382139,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519013,241,C25K3,Cl 25 entre Kr 3 y 4,-763115030,32731277,-76.52084167,3.45868806,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519016,241,C10K33,Cl 10 entre Kr 33 y 32A,-763200006,32533606,-76.533335,3.42600167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519017,241,C10K32,Cl 10 entre Kr 30 y 32,-763157990,32541712,-76.532775,3.42825333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519018,241,C10K31,Cl 10 entre Kr 31 y Tr 10 Puente Peatona,-763155176,32542552,-76.53199333,3.42848667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519020,241,D23T12,Dg 23 entre Tr 10 y 11 Laboratorios SKY,-763146511,32548750,-76.52958639,3.43020833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519021,241,C13D231,Cl 13 entre Kr 23D y D23,-763141452,32558889,-76.52818111,3.43302472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519022,241,C13D232,Cl 13 entre Dg 23 y K23D,-763140494,32558329,-76.527915,3.43286917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519025,241,C13K20,Cl 13 entre Kr 20 y 21,-763142477,32617537,-76.52846583,3.43820472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519027,241,C9K32A,Cl 9 entre Kr 32A y 32,-763212830,32539461,-76.53689722,3.42762806,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519028,241,C9K31,Cl 9 entre Kr 31 y 30,-763210736,32546450,-76.53631556,3.42956944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519029,241,C9K27,Cl 9 entre Kr 28 y 27,-763207810,32556194,-76.53550278,3.43227611,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519031,241,C9K19,Cl 9 entre Kr 19 y 17,-763200516,32620238,-76.53347667,3.438955,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519034,241,K5C21,Kr 5 entre Cl 21 y 22,-763127191,32718662,-76.52421972,3.45518389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519035,241,K5C24,Kr 5 entre Cl 24 y 25,-763114718,32724318,-76.520755,3.456755,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519039,241,A4NC6,Av 4N entre Cl 6 y 7 Oeste,-763256670,32715216,-76.549075,3.45422667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519040,241,K1C9OE,Kr 1 entre Cl 9 y 10 Oe,-763302304,32707578,-76.55064,3.452105,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519041,241,C7OEAV1,Cl 7 Oe con Av 1,-763257507,32711478,-76.5493075,3.45318833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519043,241,K1C5OE,Kr 1 entre Kr 1C y Cl 5 Oeste,-763241832,32702166,-76.54495333,3.45060167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519047,241,K8C16,Kr 8 entre Cl 16 y 15,-763140776,32700774,-76.52799333,3.450215,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519048,241,K5C15,Kr 5 entre Cl 15  y 16,-763144273,32710787,-76.52896472,3.45299639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519049,241,K5C19,Kr 5 entre Cl 19 y 20,-763132520,32716356,-76.5257,3.45454333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519051,241,C10K10,Cl 10 entre Kr 10 y 12,-763156928,32645837,-76.53248,3.44606583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519052,241,C10K13,Cl 10 entre Kr 13 y 14,-763155830,32637320,-76.532175,3.4437,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519054,241,K8C20,Kr 8 entre Cl 20 y 19,-763128445,32704827,-76.52456806,3.45134083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519061,241,C15K19A,Cl 15 entre Kr 19A y 18A,-763133330,32622108,-76.525925,3.43947444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519062,241,C10K22,Cl 10 entre Kr 22 y 23,-763152581,32610776,-76.5312725,3.43632667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519067,241,C9K15,Cl 9 entre Kr 15 y 14A,-763159322,32633156,-76.533145,3.44254333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519069,241,C5K5,Cl 5 entre Kr 5 y 6,-763214175,32655107,-76.53727083,3.44864083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519070,241,K4C9,Kr 4 entre Cl 9 y 8,-763206159,32703663,-76.53504417,3.4510175,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519071,241,K4C5,Kr 4 entre Cl 5 y 4,-763216185,32658662,-76.53782917,3.44962833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519073,241,K2C2OE,Kr 2 entre Cl 2 y 3 Oeste,-763231509,32702862,-76.54208583,3.450795,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519074,241,K1C11OE,Kr 1 entre Cl 11 y 12 Oe,-763311652,32702970,-76.55323667,3.450825,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519075,241,K2OEC14,Kr 20E entre Cl 14 y 15 Oe,-763324018,32652356,-76.55667167,3.44787667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519076,241,K2C13OE,Kr 2 entre Cl 13 y 12 Oe,-763313392,32659208,-76.55372,3.44978,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519078,241,K2C8OE,Kr 2 entre Cl 8 y 7 Oe,-763257300,32706564,-76.54925,3.45182333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519079,241,K1C2A,Kr 1 entre Cl 2 y 2A,-763223643,32701380,-76.53990083,3.45038333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519080,241,K10C7,Kr 10 entre Cl 7 y 8,-763204314,32647661,-76.53453167,3.4465725,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519082,241,C5K19,Cl 5 entre Kr 19 y 22,-763213611,32625923,-76.53711417,3.44053417,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519083,241,K23C5,Kr 23 entre Cl 5 y 3A,-763217418,32620736,-76.53817167,3.43909333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519084,241,K23C2,Kr 23 entre Cl 2 y 1A,-763226388,32626325,-76.54066333,3.44064583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519087,241,K24CC61,Kr 24C entre Cl 6 y  9,-763253483,32634298,-76.54818972,3.44286056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519088,241,K14C9,Kr 14 entre Cl 9 y 8,-763252698,32639588,-76.54797167,3.44433,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519089,241,K14C6,Kr 14 entre Cl 6 y 7,-763243392,32639180,-76.54538667,3.44421667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519091,241,K15C15,Kr 15 entre Cl 15 y 13A,-763135307,32633618,-76.52647417,3.44267167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519092,241,K14C31,Kr 14 entre Cl 3 y 4,-763218973,32637467,-76.53860361,3.44374083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519093,241,C4BK27,Cl 4B entre Kr 27 y 34,-763231334,32602664,-76.54203722,3.43407333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519095,241,C3OK34,Cl 3 Oe entre Kr 34 y 27,-763243164,32612060,-76.54532333,3.43668333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519096,241,K27C5O,Kr 27 con Cl 5 Oe,-763248564,32623418,-76.54682333,3.43983833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
518105,241,T30C17D,Tr 30 entre Kr 17D y 17F,-763054044,32627558,-76.51501222,3.44098833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519098,241,K5C8O,Kr 5 con Cl 8 Oe,-763248714,32643884,-76.546865,3.44552333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519099,241,K4C6O,Kr 4 entre Cl 6 y 7 Oe,-763249230,32648954,-76.54700833,3.44693167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519100,241,K4C8O2,Kr 4 entre Cl 8 y 9 Oe,-763254546,32649134,-76.548485,3.44698167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519101,241,K4C11O,Kr 4 entre Cl 11 y 12 Oe,-763302004,32646176,-76.55055667,3.44616,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
519103,241,K4C12O,Kr 4 entre Cl 12 y 11 Oe,-763301440,32646572,-76.5504,3.44627,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
